Part,PartDesc,Price,Status
S0030600,FAB A SECTION PIPE WITH HEX PLATE.,$1012,OUT OF STOCK
S0070002,"WELDMENT; TUNING SHAFT, PC1000C",$128,OUT OF STOCK
S0070003,"WELDMENT; TUNING SHAFT, PC1KILO",$60,OUT OF STOCK
S0070008,WELDMENT; PC1000C C/2 AND C/3 COUPLER,$2250,OUT OF STOCK
S0189700,"HINGE; 3""X 0.632"" HALF SLOT .C",$25,OUT OF STOCK
S0266700,ENCLOSURE; PC SERIES,$1192,OUT OF STOCK
S0366900,ENCLOSURE; SCARAB A 3669,$639,OUT OF STOCK
S0373100,DOOR; SCARAB SER XMTER,$397,OUT OF STOCK
S0375800,BOX;  AC ADPTR FOR SCARAB,$469,OUT OF STOCK
S0375900,"BOX, BATTERY FOR SCARAB 12V .D",$351,OUT OF STOCK
S0500000,ENCLOSURE; SA EMI FILTER MODULE,$210,OUT OF STOCK
S0500001,DOOR; EMI FILTER MODULE,$190,OUT OF STOCK
S0548900,"ENCLOSURE; SA400-1000D 19"" .G",$1125,OUT OF STOCK
S0660500,ENCLOSURE; PC1KILO USCG,$965,OUT OF STOCK
S0660600,LID; COUPLER PC1KILO USCG,$225,OUT OF STOCK
S1045201,ASSEMBLY;  SPARK GAP PC1000/C2 & C3,$100,OUT OF STOCK
S1050008,SHIELD;  LOAD CENTER / BATTERY CHARGER,$30,OUT OF STOCK
S1050009,SHIELD; ACTRL COVER BRACKET,$70,OUT OF STOCK
S1065600,PANEL; ACS CPLR,$176,OUT OF STOCK
S1070001,"SPARK GAP; INTERIOR, PC1KILO,  USCG",$18,OUT OF STOCK
S1070003,ANGLE; BRACKET LOCK,$45,OUT OF STOCK
S1086501,"SHIELD; RAIN PC1000C2, C3",$100,OUT OF STOCK
S1090000,PLATE;TWIN,$30,3 In Stock2
S1100064,COVER; FUSE,$30,OUT OF STOCK
S1131600,PANEL; BRACE ANTENNA COUPLER  RIGHT,$67,OUT OF STOCK
S1170500,ENCLOSURE; PL NUT,$14,OUT OF STOCK
S1170600,ENCLOSURE; CLP .D,$30,OUT OF STOCK
S1189900,HINGE; 3X.70 HALF .D,$24,OUT OF STOCK
S1210000,ASSEMBLY;  BRKT COIL CTG PCH KW .E,$34,OUT OF STOCK
S1213100,CHAS; KILOAD RES .-,$110,OUT OF STOCK
S1263310,"BRACKET; MOUNTING, ENCLOSURE, DARK GREY",$80,OUT OF STOCK
S1268300,"ASSEMBLY;  ELECTRODE, LIGHTNING GAP 12.75 IN",$225,OUT OF STOCK
S1268400,ASSEMBLY;  ELECTRODE LIGHTNING GAP 4.50 IN,$225,OUT OF STOCK
S1307800,ASSEMBLY;  KILOAD RES BRACKET A,$45,OUT OF STOCK
S1307900,ASSEMBLY;  KILOAD RES BRKT B,$45,OUT OF STOCK
S1330096,"BRACKET, SHIPPING PCB MODULE",$10,OUT OF STOCK
S1363300,PL; SSK CPLR FACE,$112,OUT OF STOCK
S1363400,CHA; SSKC CPLR BOT,$128,OUT OF STOCK
S1373600,SCARAB; COUPLER FACEPLATE,$180,OUT OF STOCK
S1375600,D00R; MD ENCL SCARAB,$181,OUT OF STOCK
S1376300,DR; AC ADPTR SCARAB .A,$129,OUT OF STOCK
S1376700,PANEL; CONT AC ADPTR SCARAB .B,$276,OUT OF STOCK
S1377700,ASSEMBLY;  PNL TOP FOR SCARAB12V,$119,OUT OF STOCK
S1382600,SHIELD; LEFT VICOR W/SSCRN,$166,OUT OF STOCK
S1382700,SHIEL;D R VICOR,$96,OUT OF STOCK
S1383100,BKT; LOW FREQ XT COIL HSG .C,$86,OUT OF STOCK
S1389400,BRK; BARMTR SCARAB,$107,OUT OF STOCK
S1391900,ASSEMBLY; BRKT QUAD FLTR CAP .A,$17,OUT OF STOCK
S1393300, BRKT; QUAD FLTR SW,$63,OUT OF STOCK
S1393400,PANEL; QUAD FLTR COV,$133,OUT OF STOCK
S1393500,ENCLOSURE;  SSKC MBRD,$262,OUT OF STOCK
S1394400,ASSEMBLY; PL AC/BATT CHGR MDL,$26,OUT OF STOCK
S1394500,BRKT; ACADPTER/CHARGER MODE,$33,OUT OF STOCK
S1401600,DR; SFT SPRT PC1KW .B,$164,OUT OF STOCK
S1402600,PL; PC1KILO COP INS,$102,OUT OF STOCK
S1436700,RDTR; ELM WN,$61,OUT OF STOCK
S1527000,SHLD; RF DS SER .D,$131,OUT OF STOCK
S1549600,"PANEL; REAR P.A. 19"" :20",$98,OUT OF STOCK
S1550601,PANEL; FRNT SA1000 :60,$223,OUT OF STOCK
S1550700,CHAS; PWR AMP SA400-1000,$268,OUT OF STOCK
S1569900,LID; BATT CHGR 144V .A,$196,OUT OF STOCK
S1581600,BRACKET; MTR SAU,$21,OUT OF STOCK
S1588900,HINGE; 3X.632 HALF SLOT .060THK .A,$19,OUT OF STOCK
S1595300,CHASSIS; SA25-100 19IN UNIVERSAL,$180,OUT OF STOCK
S1596201,PANEL; ACCESS PC1000C/2,$210,OUT OF STOCK
S1628000,PANEL; SA25-100 19IN STAN FR MNT,$249,OUT OF STOCK
S1628200,SHLD; SA25-100 PNL MNT .B,$580,OUT OF STOCK
S1643600,PANEL; FR 144VDC LD CTR/BAT CHGR RM :60,$340,OUT OF STOCK
S1643700,CHASSIS; 144VDC LD CTR/BAT CHGR RM,$203,OUT OF STOCK
S1643800,PANEL; REAR 144VDC LD CTR/BAT CHGR RM,$105,OUT OF STOCK
S1648400,"CHASSIS; RSA 19"" RM",$229,OUT OF STOCK
S1660700,PANEL; CNTL PC1KILO USCG,$109,OUT OF STOCK
S1660800,PANEL; ACS CPLR PC1KILO USCG,$225,OUT OF STOCK
S1664700,PANEL; INSUL PC1KILO USCG,$136,OUT OF STOCK
